"상세영업상태코드","사업장명","시군구명","동리명","설립년도","폐업년도","영업기간"
2,"약초방","종로구","종로3가",1991,2015,25
2,"빠빠맹(PaPaMain)","종로구","청진동",2015,2017,3
2,"북촌 명인 유기농단팥빵","종로구","종로2가",2015,2017,3
2,"서촌 양과자집 레","종로구","통인동",2018,2019,2
2,"마고","서초구","양재동",2013,2020,8
2,"플레인","서초구","서초동",2013,2020,8
2,"반월당 고로케","서초구","잠원동",2013,2019,7
2,"라몽떼","서초구","반포동",2013,2016,4
2,"OLD FASHIONED Bakery(올드 훼션드 베이커리)","서초구","반포동",2013,2019,7
2,"Toudou(뚜두)","서초구","서초동",2013,2016,4
2,"주식회사 신세계에스브이엔 달로와요","서초구","반포동",2013,2014,2
2,"더빵집","서초구","양재동",2013,2016,4
2,"서울연인단팥빵","서초구","서초동",2013,2016,4
2,"더벨로","서초구","양재동",2013,2014,2
2,"한살림 서초매장","서초구","서초동",2014,2017,4
2,"광화문빵집","종로구","사직동",2009,2017,9
2,"뚜레쥬르","서초구","반포동",2007,2010,4
2,"Bonito Tart(보니투 타르트) 강남점","서초구","서초동",2015,2016,2
2,"드프랑","서초구","반포동",2015,2015,1
2,"BREAD, ESPRESSO & (브래드, 에스프레소 &)","서초구","방배동",2015,2019,5
2,"토야푸드빌","종로구","명륜4가",2016,2017,2
2,"신라명과 강북삼성병원점","종로구","평동",2016,2018,3
2,"창신동 빵공방","종로구","창신동",2016,2018,3
2,"따거 대만카스테라 동대문점","종로구","창신동",2017,2018,2
2,"브레댄코 종로3가역점 153-02호","종로구","종로3가",2017,2021,5
2,"카페 밀","서초구","내곡동",2015,2018,4
2,"프랭크","서초구","반포동",2015,2015,1
2,"경성컴퍼니","서초구","반포동",2015,2017,3
2,"주식회사 가토드보야주","서초구","반포동",2015,2019,5
2,"어니스크","서초구","서초동",2015,2017,3
2,"메르시","서초구","양재동",2015,2017,3
2,"식빵학개론","서초구","방배동",2015,2018,4
2,"(주)라이프추리","서초구","반포동",2015,2015,1
2,"가렛팝콘샵","서초구","반포동",2015,2017,3
2,"로얄몬드","서초구","반포동",1993,2006,14
2,"던킨도너츠강남2호점","서초구","서초동",1993,2015,23
2,"Doux lapin(두라팡)","서초구","방배동",2014,2017,4
2,"트로이과자점","서초구","서초동",2014,2015,2
2,"빠네뜨리과자점","서초구","방배동",1999,2005,7
2,"에끌레어 드 제니","서초구","반포동",2015,2016,2
2,"고선생고로케","서초구","내곡동",2015,2017,3
2,"파리바게뜨 강남본점","서초구","서초동",2015,2020,6
2,"(주)에이셰프크라프트 방배점","서초구","방배동",2015,2016,2
2,"비스코티하우스","서초구","반포동",2016,2016,1
2,"(주)고메베이글","서초구","반포동",2008,2016,9
2,"파리빵마을","서초구","서초동",1994,2010,17
2,"뉴코간편식","서초구","잠원동",1994,2015,22
2,"케익하우스폼므","서초구","방배동",1994,2008,15
2,"하니비","서초구","방배동",1995,2013,19
2,"하우스바게뜨","서초구","방배동",1996,2008,13
2,"박종근과자점","서초구","반포동",1996,2020,25
2,"파리바게트 남산쌍용점","중구","회현동2가",2010,2012,3
2,"빵사랑베이커리","중구","신당동",2010,2012,3
