"상세영업상태코드","사업장명","시군구명","동리명","설립년도","폐업년도","영업기간"
2,"뚜쥬루","성동구","용답동",1992,2009,18
2,"맛사랑제과","성동구","사근동",1992,2010,19
2,"크라운베이커리","성동구","성수동1가",1994,2006,13
2,"뚜레쥬르","성동구","성수동2가",1994,2006,13
2,"뒤샹","중구","충무로1가",2005,2005,1
2,"마인츠돔","중구","충무로1가",2005,2005,1
2,"대두강남식품","중구","소공동",2005,2005,1
2,"디토르테","중구","충무로1가",2017,2019,3
2,"브라운커널도너츠","서초구","잠원동",2008,2009,2
2,"(주)윈첼코리아","서초구","잠원동",2008,2008,1
2,"델리본고려당","서초구","반포동",2008,2013,6
